Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Creighton (4718051) T 00010,585,62179,52470,66902,367,55748,279
Flin Flon (Part) (4718052) CY 01020,0,0,0,0,0,0,0
Pelican Narrows (4718055) NV 00020,110,22272,22080,29303,0,28223,0
Sandy Bay (4718058) NV 01020,240,24768,24768,31814,0,30176,0
Pinehouse (4718065) NV 00000,240,41856,39936,48476,0,43693,0
Île-à-la-Crosse (4718067) NV 00010,405,38583,38583,50574,4067,44317,3027
Patuanak (4718069) NH 00010,0,0,0,0,0,0,0
Buffalo Narrows (4718070) NV 01120,375,49386,43925,53744,2092,47276,1686
Michel Village (4718072) NH 00000,0,0,0,0,0,0,0
La Loche (4718074) NV 00000,590,36011,35218,43446,0,40047,0
Turnor Lake (4718075) NH 02020,0,0,0,0,0,0,0
"Division No. 18, Unorganized (4718090) NO 02011",465,34109,31437,45264,1324,39859,1036
Stony Rapids (4718100) NH 00010,80,64640,55424,67544,0,59553,0
Cumberland House Cree Nation 20 (4718801) IRI 00000,170,20672,20288,24626,0,23790,0
Montreal Lake 106 (4718802) IRI 01020,215,17600,17600,23636,0,22940,0
Stanley 157 (4718803) IRI 00000,345,27712,27456,33075,0,31899,0
La Plonge 192 (4718807) IRI 01020,0,0,0,0,0,0,0
Morin Lake 217 (4718808) IRI 01020,90,21696,21696,28144,0,27754,0
Sucker River 156C (Nemebien River 156C) (4718811) IRI 01010,85,15424,15424,25263,0,24663,0
Kitsakie 156B (4718812) IRI 01020,150,27115,27104,33033,0,31972,0
Wapachewunak 192D (4718814) IRI 00000,145,28608,27520,41344,0,38005,0
Canoe Lake 165 (4718817) IRI 01020,215,24917,24768,32210,0,31220,0
Buffalo River Dene Nation 193 (Peter Pond Lake 193) (4718818) IRI 01020,210,22464,22336,33106,0,31900,0
Turnor Lake 193B (4718819) IRI 02020,100,24768,24768,32460,0,31171,0
Pelican Narrows 184B (4718820) IRI 00020,280,21888,21888,29371,0,28698,0
Southend 200 (4718822) IRI 00010,185,36352,35840,42253,0,40886,0
Chicken 225 (4718823) IRI 00000,0,0,0,0,0,0,0
Fond du Lac 227 (4718824) IRI 01010,185,41088,39808,48725,0,45243,0
Chicken 224 (4718828) IRI 00000,220,30784,30656,38222,0,35855,0
Grandmother's Bay 219 (4718831) IRI 01020,75,20160,20160,27173,0,26950,0
Lac La Hache 220 (4718832) IRI 00010,180,30165,30165,35955,0,34167,0
Clearwater River Dene 222 (4718839) IRI 00000,145,29056,29056,35062,0,32793,0
Kimosom Pwatinahk 203 (Deschambault Lake) (4718852) IRI 01020,180,21632,21632,28348,0,27296,0
Kinoosao-Thomas Clark 204 (4718854) IRI 02021,0,0,0,0,0,0,0
Alberta (48)   21010,1256200,63988,55199,84368,288,69001,200
Division No. 1 (4801)   01010,29560,56763,49677,68752,718,57741,532
Cypress County (4801003) MD 01020,2365,63382,55000,73537,2829,61404,2222
Medicine Hat (4801006) CY 01010,23610,55858,48813,68756,814,57576,595
Forty Mile County No. 8 (4801008) CM 01011,875,51450,45338,59971,3830,52602,3043
Foremost (4801009) VL 00000,210,48389,41986,68341,7828,57953,6167
Bow Island (4801014) T 01010,595,50936,46430,61703,4098,53782,3376
Redcliff (4801018) T 00000,1900,62408,53651,69062,2048,58822,1619
Division No. 2 (4802)   01010,53450,54403,48191,66547,739,56532,514
Warner County No. 5 (4802001) CM 01010,815,54589,47341,63076,3533,55935,2903
Coutts (4802002) VL 01020,120,54649,49739,61377,10014,53421,8297
Milk River (4802004) T 02020,385,32504,32388,58285,7457,50135,5637
Warner (4802006) VL 01020,145,33505,31783,43757,4158,38959,3346
Raymond (4802008) T 00000,1045,46611,44140,54858,2387,49025,1989
Stirling (4802009) VL 00010,285,56535,52439,60019,3991,52265,3148
Lethbridge County (4802011) CM 00011,2880,59235,52216,73387,2302,63395,1763
Lethbridge (4802012) CY 01000,30700,52122,46116,63703,964,54128,667
Coalhurst (4802013) T 00000,535,55573,47794,70828,4534,59379,3342
Nobleford (4802014) VL 00001,225,48779,43192,51580,3726,45661,2990
Barons (4802016) VL 01020,115,38943,36167,49870,6670,43740,5351
Picture Butte (4802018) T 00000,595,40421,39241,56345,4202,48046,3451
Coaldale (4802019) T 00000,2245,56911,49619,62647,1598,54512,1273
Taber (4802021) MD 01010,1720,52272,47686,65702,2793,57419,2221
Taber (4802022) T 01010,2900,55265,48214,67033,2121,56984,1516
Barnwell (4802023) VL 00000,175,70377,62446,85938,9479,74179,7759
Vauxhall (4802029) T 01010,405,46564,42855,52885,3527,46490,2906
Newell County No. 4 (4802031) CM 01010,2175,64341,57459,90285,6602,73975,4421
Tilley (4802032) VL 00000,140,46406,42054,53988,7111,46156,5794
Brooks (4802034) CY 00000,4835,64606,54416,78964,3602,65110,2441
Duchess (4802036) VL 01000,335,77690,63000,81806,4905,67734,3845
Rosemary (4802038) VL 01000,140,47316,46292,57768,6397,50115,5027
Bassano (4802039) T 01010,530,49828,41574,62433,3808,53180,2998
Division No. 3 (4803)   01020,12870,46377,42666,56236,623,49498,497
Cardston County (4803001) MD 01020,1000,53082,48828,60556,2648,53714,2144
Magrath (4803002) T 01000,645,52166,47268,56533,2885,50711,2338
Improvement District No. 4 (4803003) ID 02020,0,0,0,0,0,0,0
Cardston (4803004) T 00000,1175,49592,46037,55658,2029,50211,1717
Glenwood (4803006) VL 01010,100,42225,41457,55585,8517,50415,7498
Hillspring (4803008) VL 00000,0,0,0,0,0,0,0
Pincher Creek No. 9 (4803011) MD 01020,1155,51021,46863,71324,4307,60335,3351
Pincher Creek (4803014) T 00010,1475,47762,43201,59550,2213,51297,1732
Cowley (4803016) VL 00010,0,0,0,0,0,0,0
Willow Creek No. 26 (4803018) MD 02020,1650,52007,45008,60911,2065,53243,1633
Fort Macleod (4803019) T 01000,1225,46232,40942,53665,2057,47139,1679
Granum (4803021) T 01020,175,48635,39421,53052,5072,46001,4017
Claresholm (4803022) T 01000,1570,43379,38502,55889,2277,47938,1758
Stavely (4803024) T 01020,215,35599,33853,44875,3852,39372,2987
Nanton (4803026) T 01000,835,49337,45202,55991,2522,48780,1986
Piikani 147 (4803801) IRI 01010,360,26016,26005,34097,0,33476,0
Blood 148 (4803802) IRI 02120,1045,31185,30633,37672,145,37138,142
Division No. 4 (4804)   01010,4050,52338,46831,63999,1752,54538,1369
Acadia No. 34 (4804001) MD 02020,165,34029,31223,54017,11623,45295,7611
Special Area No. 2 (4804004) SA 01010,715,61336,53968,67883,4342,58188,3579
Empress (4804006) VL 00000,0,0,0,0,0,0,0
Hanna (4804011) T 00000,1245,43949,39332,58723,2829,49777,2234
Special Area No. 3 (4804012) SA 01000,445,42821,38981,56255,4510,49055,3590
Oyen (4804014) T 01010,390,45861,43945,55098,3520,47545,2757
Cereal (4804016) VL 01000,0,0,0,0,0,0,0
Youngstown (4804019) VL 01000,0,0,0,0,0,0,0
Special Area No. 4 (4804020) SA 01010,465,73410,61860,81474,5870,68449,4674
Veteran (4804021) VL 02020,130,70325,60575,71624,6671,63522,5700
Consort (4804022) VL 00000,285,64793,52114,77356,8909,63923,6379
Division No. 5 (4805)   01020,17965,54321,48185,64562,749,55065,555
Vulcan County (4805001) CM 01010,1130,54750,48125,68570,4198,57906,2974
Carmangay (4805002) VL 01010,115,38422,37902,37792,4229,33231,3946
Champion (4805004) VL 02020,160,34899,31237,46435,5224,41078,4498
Vulcan (4805006) T 02020,770,54401,46800,58053,2927,50196,2354
Lomond (4805008) VL 01000,0,0,0,0,0,0,0
Milo (4805009) VL 00000,0,0,0,0,0,0,0
Arrowwood (4805011) VL 01020,0,0,0,0,0,0,0
Wheatland County (4805012) CM 01020,2505,62731,55167,75555,3360,63419,2385
Strathmore (4805018) T 00000,3780,66473,57303,73138,1724,61379,1250
Hussar (4805019) VL 01000,0,0,0,0,0,0,0
Standard (4805021) VL 01010,150,69707,60792,70785,6398,60250,5087
Rockyford (4805022) VL 00000,135,45719,42420,52074,4750,45837,3717
Drumheller (4805026) T 01000,3075,56029,48175,63567,1656,53650,1262
Starland County (4805031) MD 02020,690,50820,45640,65981,3548,56801,2775
Delia (4805034) VL 01000,0,0,0,0,0,0,0
Munson (4805036) VL 00010,0,0,0,0,0,0,0
Morrin (4805038) VL 00010,110,39667,38387,47785,4418,42430,3609
Kneehill County (4805041) MD 01010,1720,55843,49889,65814,2634,56531,1973
Carbon (4805042) VL 01010,210,57056,50289,55469,4440,49270,3648
Acme (4805044) VL 00010,270,53881,43995,66440,6421,51324,5651
Linden (4805046) VL 00000,315,42862,38524,50172,4163,44517,3418
Three Hills (4805048) T 01010,1100,43732,41376,57640,2851,51360,2254
Trochu (4805049) T 01010,400,38960,37606,54499,4343,47546,3505
Siksika 146 (4805802) IRI 01020,850,26475,26416,32332,0,31873,0
Division No. 6 (4806)   20000,445715,68401,58557,97644,658,78163,465
Foothills No. 31 (4806001) MD 00111,6950,90890,77765,144748,5823,113465,4627
High River (4806006) T 00001,4185,61528,52812,69563,1437,58731,1090
Longview (4806008) VL 00000,130,39180,32793,42952,6680,36111,5250
Turner Valley (4806009) T 00000,760,57276,48927,73277,4840,61213,3538
Black Diamond (4806011) T 01010,715,46811,41902,55200,2963,48262,2421
Okotoks (4806012) T 00001,5755,77438,64726,90856,2114,74514,1616
Rocky View No. 44 (4806014) MD 00001,11185,104838,85927,196566,7427,141776,4610
Calgary (4806016) CY 00101,384740,67238,57601,95620,717,76787,510
Chestermere (4806017) T 00001,3065,99932,82918,114801,2985,92681,2144
Cochrane (4806019) T 00001,4835,83003,70462,103823,3760,84085,2785
Airdrie (4806021) CY 00001,10095,78097,65767,85643,1123,70791,859
Beiseker (4806024) VL 00000,310,53143,44206,57768,4144,49605,3350
Crossfield (4806026) T 00011,940,73396,62727,85339,5131,70692,3959
Mountain View County (4806028) CM 01011,4660,59000,52570,69860,1886,58524,1418
Carstairs (4806029) T 00000,1000,58817,51176,66366,2571,56716,2044
Cremona (4806031) VL 01020,190,46339,45571,56986,6434,50131,5199
Didsbury (4806032) T 00000,1665,52844,47154,61271,1906,52090,1510
Olds (4806034) T 00000,3000,51940,45666,65460,2160,55561,1681
Sundre (4806036) T 01011,1040,53338,47065,60392,2739,51158,2090
Eden Valley 216 (4806803) IRI 01020,65,30400,30400,38060,0,37524,0
Division No. 7 (4807)   01010,15115,57353,50238,67722,902,57265,724
Provost No. 52 (4807001) MD 01011,890,68397,57075,75971,4533,62906,3218
Provost (4807002) T 01000,780,70915,59465,76755,3766,63256,2819
Czar (4807004) VL 01010,0,0,0,0,0,0,0
Hughenden (4807006) VL 01000,0,0,0,0,0,0,0
Amisk (4807008) VL 00000,0,0,0,0,0,0,0
Paintearth County No. 18 (4807011) CM 02020,680,64222,56608,81276,5360,69381,4702
Coronation (4807012) T 02010,435,56520,49094,61624,3947,52502,3147
Castor (4807014) T 00000,405,46250,44902,60026,5729,50426,4155
Halkirk (4807016) VL 02000,0,0,0,0,0,0,0
Stettler County No. 6 (4807019) CM 01010,1725,55787,51718,64472,2156,55403,1762
Big Valley (4807021) VL 01010,165,34955,33675,49343,5632,42886,4465
Botha (4807024) VL 00010,0,0,0,0,0,0,0
Stettler (4807026) T 00000,2180,56201,49555,67828,2824,57906,2541
Rochon Sands (4807028) SV 01000,0,0,0,0,0,0,0
Donalda (4807029) VL 01010,0,0,0,0,0,0,0
Flagstaff County (4807031) CM 00011,1235,62508,54895,69179,2728,59313,2310
Alliance (4807032) VL 01020,0,0,0,0,0,0,0
Galahad (4807034) VL 02020,0,0,0,0,0,0,0
Forestburg (4807036) VL 01000,350,59288,52521,78333,9174,63738,6397
Heisler (4807038) VL 01010,0,0,0,0,0,0,0
Daysland (4807039) T 01010,325,51212,42774,59541,6238,49719,4381
Strome (4807041) VL 01000,105,33206,30810,41241,7511,36637,6203
Killam (4807042) T 00010,415,63906,53730,67494,5053,56247,3689
Sedgewick (4807044) T 01010,375,57869,51201,66541,4398,56365,3460
Lougheed (4807046) VL 01000,0,0,0,0,0,0,0
Hardisty (4807048) T 01020,305,56925,47465,63708,3976,53441,3030
Wainwright No. 61 (4807049) MD 01010,1210,68888,57717,78807,3454,65659,2606
Chauvin (4807051) VL 01010,130,56356,49036,64103,7435,53371,5554
Edgerton (4807052) VL 01000,155,39716,37668,44891,5316,39756,4359
Wainwright (4807054) T 00010,2150,54738,47280,67790,2245,57057,1742
Irma (4807056) VL 01020,190,50887,44258,52958,4511,45337,3518
Division No. 8 (4808)   00010,66155,63030,54639,78657,1089,64761,671
Red Deer County (4808001) CM 01001,6680,68324,59080,103446,7979,81020,4474
Elnora (4808002) VL 00000,125,35427,35427,47721,7162,42642,5833
Delburne (4808004) VL 00010,310,47636,45332,53525,4376,45918,3446
Jarvis Bay (4808005) SV 02020,0,0,0,0,0,0,0
Bowden (4808006) T 01010,505,41383,38827,54693,3747,47864,3034
Innisfail (4808008) T 00001,2875,54375,47117,69149,2241,58413,1779
Penhold (4808009) T 01000,705,67013,56728,73250,3172,61799,2446
Red Deer (4808011) CY 00001,32650,63034,54201,77761,1339,64177,885
Sylvan Lake (4808012) T 00001,3665,77102,63478,84352,2517,68374,1845
Norglenwold (4808013) SV 02010,110,93309,77885,106359,15877,83976,11943
Lacombe County (4808022) CM 01011,3640,68701,60235,79484,2592,66656,1889
Birchcliff (4808023) SV 02000,0,0,0,0,0,0,0
Eckville (4808024) T 00010,380,55831,46872,62883,4985,52892,3858
Bentley (4808026) T 01001,425,52848,48755,58060,3476,50197,2766
Gull Lake (4808028) SV 03020,0,0,0,0,0,0,0
Blackfalds (4808029) T 00001,1660,75164,62813,78465,2279,64874,1721
Lacombe (4808031) T 00000,3910,64746,56382,76193,2301,63657,1631
Clive (4808032) VL 00010,205,62765,52895,68466,5411,58463,4366
Alix (4808034) VL 01010,345,45464,43199,58515,4428,50189,3506
Ponoka County (4808038) CM 01011,3035,59180,52361,71076,1945,60413,1509
Ponoka (4808039) T 00001,2665,54556,48352,67803,2259,57517,1742
Parkland Beach (4808042) SV 02020,0,0,0,0,0,0,0
Rimbey (4808044) T 01011,960,46493,42171,54362,2551,47423,2004
Samson 137 (4808811) IRI 02020,790,21862,21811,29606,0,29259,0
Montana 139 (4808813) IRI 00000,145,24448,24448,28395,0,28210,0
Division No. 9 (4809)   01010,7540,59965,52001,83936,6241,67713,3886
Clearwater County (4809002) MD 01010,4425,60662,52625,78217,2939,65385,2161
Caroline (4809010) VL 00010,230,37087,35154,44766,3742,39013,2890
Rocky Mountain House (4809015) T 00000,2615,63974,54057,101090,18493,76776,11352
O'Chiese 203 (4809806) IRI 01010,105,33408,32000,38086,0,37194,0
Sunchild 202 (4809809) IRI 00010,90,40576,39936,45165,0,44265,0
Big Horn 144A (4809810) IRI 00010,0,0,0,0,0,0,0
Division No. 10 (4810)   01010,33910,53743,47774,67964,808,57389,585
Camrose County No. 22 (4810001) CM 01011,2580,60145,53775,76814,3918,66066,3238
Bashaw (4810002) T 00020,335,41315,37783,53436,5396,46273,4117
Rosalind (4810003) VL 00010,0,0,0,0,0,0,0
Ferintosh (4810004) VL 01020,0,0,0,0,0,0,0
Edberg (4810006) VL 00000,0,0,0,0,0,0,0
New Norway (4810008) VL 01010,115,58956,49484,55648,5636,49254,4758
Bawlf (4810009) VL 00000,140,67388,58014,60873,4637,52267,3635
Camrose (4810011) CY 00001,6725,47972,43233,62201,1449,52816,1052
Bittern Lake (4810012) VL 00000,0,0,0,0,0,0,0
Hay Lakes (4810014) VL 01000,130,67734,60747,70038,5095,59207,3891
Beaver County (4810016) CM 01010,1990,52111,47782,64974,2236,55797,1742
Tofield (4810018) T 00000,720,47534,41265,57883,3311,49704,2567
Ryley (4810019) VL 01000,200,38762,36775,49258,4802,43082,3751
Holden (4810021) VL 01010,175,35274,34216,51540,6276,44801,5052
Viking (4810022) T 01000,445,39387,37318,56612,3922,49378,3121
Minburn County No. 27 (4810026) CM 01000,1160,50388,47065,58061,2727,50417,2142
Vegreville (4810028) T 00000,2380,43443,38075,58940,3113,50028,2117
Innisfree (4810031) VL 02020,0,0,0,0,0,0,0
Minburn (4810032) VL 01000,0,0,0,0,0,0,0
Mannville (4810034) VL 01010,350,44715,38114,47818,3274,42460,2670
Vermilion River County No. 24 (4810036) CM 01010,2630,64006,56836,86854,4290,72092,2943
Paradise Valley (4810038) VL 00020,0,0,0,0,0,0,0
Lloydminster (Part) (4810039) CY 00000,6080,73998,63365,89057,2629,72319,1777
Kitscoty (4810041) VL 00000,255,61125,54528,61109,4752,52211,3818
Vermilion (4810042) T 01000,1630,51178,46174,61227,2222,52603,1755
Marwayne (4810044) VL 00010,210,49805,43661,56394,4357,48391,3408
Dewberry (4810046) VL 00000,0,0,0,0,0,0,0
Two Hills County No. 21 (4810048) CM 02020,1000,38713,37975,47442,2059,42106,1663
Derwent (4810049) VL 01000,0,0,0,0,0,0,0
Myrnam (4810051) VL 02020,160,46644,42405,52335,5889,45636,4701
Two Hills (4810052) T 01000,450,36183,33375,43116,3100,38046,2426
Willingdon (4810056) VL 02010,150,19460,19460,28144,4554,25629,3752
Lamont County (4810058) CM 01011,1510,47936,43307,59684,2426,51721,1898
Andrew (4810059) VL 00000,230,30888,30046,44691,5003,38891,3840
Mundare (4810061) T 01001,295,46310,41961,51161,3775,44605,2987
Chipman (4810062) VL 01000,0,0,0,0,0,0,0
Lamont (4810064) T 01010,595,60421,51468,68141,3481,57762,2688
Bruderheim (4810066) T 01010,450,75128,62736,73017,4354,60607,3433
Division No. 11 (4811)   01010,420645,62771,54264,78927,405,65259,273
Wetaskiwin County No. 10 (4811001) CM 01010,3940,55729,49664,73565,3980,61092,2618
Wetaskiwin (4811002) CY 00010,4770,44552,40302,59200,3504,50263,2274
Grandview (4811004) SV 02000,0,0,0,0,0,0,0
Poplar Bay (4811005) SV 02000,0,0,0,0,0,0,0
Ma-Me-O Beach (4811008) SV 03020,0,0,0,0,0,0,0
Silver Beach (4811009) SV 02010,0,0,0,0,0,0,0
Millet (4811011) T 00000,790,62869,53227,75981,5013,62563,3556
Leduc County (4811012) CM 01010,4580,66036,56414,108545,14250,85030,8838
Beaumont (4811013) T 00000,2790,98532,80370,109661,3463,89596,2902
New Sarepta (4811014) VL 02000,160,41774,41518,57362,6501,50105,5299
Leduc (4811016) CY 00100,6530,66963,58452,77198,1481,64275,1082
Devon (4811018) T 00000,2300,73157,61297,83569,2476,69649,2066
Calmar (4811019) T 01000,725,65717,55125,70156,3430,58303,2579
Thorsby (4811021) VL 01010,390,42390,38352,52832,4244,45678,3338
Golden Days (4811023) SV 03020,0,0,0,0,0,0,0
Warburg (4811024) VL 01020,230,43051,38027,46751,4302,41338,3508
Breton (4811026) VL 01010,230,51795,46419,54047,4383,46988,3452
Drayton Valley (4811031) T 00001,2540,76309,63418,87647,4055,71541,2752
Brazeau County (4811032) MD 00001,2540,73981,62075,92173,5205,74793,3590
Parkland County (4811034) CM 01011,10230,78052,66175,92442,2028,75460,1376
Seba Beach (4811038) SV 03020,0,0,0,0,0,0,0
Wabamun (4811045) VL 01000,245,41821,36597,55572,5423,48798,4672
Spring Lake (4811046) VL 00010,190,78072,67324,76376,6761,64094,5224
Stony Plain (4811048) T 00001,4615,69164,58352,78866,2001,65459,1463
Spruce Grove (4811049) CY 00000,7070,76758,65041,86561,1701,71409,1219
Strathcona County (4811052) SM 00000,28645,90746,75468,109770,1858,88233,1258
Fort Saskatchewan (4811056) CY 00100,5665,76975,64522,86550,1992,70753,1392
Sturgeon County (4811059) MD 01020,6035,81095,68608,97720,3099,79262,2206
Edmonton (4811061) CY 01010,297725,57085,49781,72950,463,60768,314
St. Albert (4811062) CY 00000,20560,88854,74516,102603,1250,83175,887
Gibbons (4811064) T 01110,955,72141,63637,73300,2373,61766,1871
Redwater (4811065) T 01010,870,57536,48505,66384,3318,55966,2574
Bon Accord (4811066) T 01010,530,76912,63967,77054,3524,64781,2708
Morinville (4811068) T 00000,2285,73288,63820,83616,4242,69716,3028
Legal (4811069) T 00010,415,57887,49030,58903,4549,50018,3949
Ermineskin 138 (4811801) IRI 01020,380,20608,20608,27739,0,27484,0
Pigeon Lake 138A (4811802) IRI 01020,90,18112,18112,23138,0,23050,0
Louis Bull 138B (4811803) IRI 02020,235,21440,21440,28368,0,28097,0
Alexander 134 (4811805) IRI 01020,230,40256,38080,47538,0,46165,0
Wabamun 133A (4811806) IRI 02020,195,35648,35200,41016,0,40257,0
Division No. 12 (4812)   21020,21450,60030,51707,71138,894,59944,659
Cold Lake (4812002) CY 00010,4305,75900,64874,84056,1735,69258,1327
Bonnyville No. 87 (4812004) MD 01010,3510,68365,58224,86794,3777,71380,2625
Lakeland County (4812005) MD 02021,2285,62067,53065,72600,2198,61192,1692
Bonnyville (4812009) T 01010,2265,60260,52170,72152,2874,60274,2209
Glendon (4812012) VL 01000,180,34571,32142,40276,3512,35817,2778
Pelican Narrows (4812013) SV 02020,0,0,0,0,0,0,0
St. Paul County No. 19 (4812014) CM 01011,2200,57756,52354,66517,2157,56951,1671
Elk Point (4812016) T 01021,560,47206,40950,58497,3529,49445,2609
St. Paul (4812018) T 00000,1960,51035,45139,61241,2173,52565,1660
Horseshoe Bay (4812020) SV 01000,0,0,0,0,0,0,0
Smoky Lake County (4812022) CM 02010,1230,45778,40911,57781,3945,50457,3265
Vilna (4812024) VL 01020,0,0,0,0,0,0,0
Waskatenau (4812026) VL 02010,135,43700,43635,42465,4622,37899,3753
Smoky Lake (4812029) T 01010,445,39561,35753,53505,3926,46313,3061
Lac la Biche (4812035) T 02020,1015,48777,43250,61839,2920,53085,2303
Unipouheos 121 (4812802) IRI 02020,175,25536,25515,33219,0,32876,0
Puskiakiwenin 122 (4812804) IRI 02020,85,33216,33088,40032,0,39120,0
White Fish Lake 128 (4812808) IRI 01020,285,34112,33408,43297,0,42076,0
Cold Lake 149 (4812810) IRI 02020,120,38016,37734,45725,0,43635,0
Kehewin 123 (4812811) IRI 02020,225,26389,26389,35444,0,34499,0
Cold Lake 149A (4812813) IRI 02020,0,0,0,0,0,0,0
Cold Lake 149B (4812815) IRI 02020,0,0,0,0,0,0,0
Beaver Lake 131 (4812828) IRI 01020,100,30272,30272,34862,0,33903,0
Division No. 13 (4813)   01010,25700,54925,48338,67217,946,56829,676
Lac Ste. Anne County (4813001) MD 01010,3675,56160,49056,65160,1607,55565,1227
Mayerthorpe (4813002) T 01000,595,43479,40165,54331,3220,46478,2560
Sangudo (4813004) VL 02020,160,49891,44568,54577,6984,46206,5300
Val Quentin (4813005) SV 01000,0,0,0,0,0,0,0
West Cove (4813006) SV 02020,0,0,0,0,0,0,0
Yellowstone (4813007) SV 02020,0,0,0,0,0,0,0
Ross Haven (4813008) SV 02020,0,0,0,0,0,0,0
Alberta Beach (4813012) VL 02020,410,60170,50168,63822,4865,54140,3894
Onoway (4813014) T 01000,340,53710,47053,64034,5541,54821,4276
South View (4813015) SV 02000,0,0,0,0,0,0,0
Sandy Beach (4813016) SV 03020,0,0,0,0,0,0,0
Sunrise Beach (4813017) SV 02020,0,0,0,0,0,0,0
Barrhead County No. 11 (4813018) CM 01010,2090,52290,46729,61724,2061,53830,1696
Barrhead (4813019) T 01000,1725,45645,41176,55564,1908,48158,1486
Westlock County (4813028) MD 01020,2405,51401,46529,63180,2009,54703,1577
Woodlands County (4813029) MD 01010,1510,67478,59097,83609,3242,69209,2443
Whitecourt (4813030) T 00000,3285,78516,65908,86682,2228,70278,1636
Westlock (4813031) T 01010,2060,41487,37762,54270,1972,46925,1536
Clyde (4813032) VL 00000,180,29278,29194,43138,4268,37928,3348
Thorhild County No. 7 (4813036) CM 02020,1215,47606,42717,63678,8351,55794,6556
Thorhild (4813042) VL 02020,230,41865,36521,52718,4714,44999,3630
Athabasca County No. 12 (4813044) CM 01021,2905,53156,47134,65705,1636,55647,1266
Mewatha Beach (4813045) SV 03020,0,0,0,0,0,0,0
Boyle (4813046) VL 02020,345,43049,41741,51553,3906,44776,3159
Sunset Beach (4813047) SV 03020,0,0,0,0,0,0,0
Athabasca (4813048) T 01010,1065,58418,49528,69641,3040,58489,2385
Bondiss (4813053) SV 03000,0,0,0,0,0,0,0
South Baptiste (4813055) SV 02000,0,0,0,0,0,0,0
Whispering Hills (4813061) SV 02020,0,0,0,0,0,0,0
Alexis 133 (4813811) IRI 01010,165,31936,31936,39658,0,38976,0
Division No. 14 (4814)   01010,10565,72112,60281,81900,1926,67460,1625
Yellowhead County (4814003) MD 01010,3800,64215,54272,79650,3231,65109,2199
Hinton (4814019) T 01010,3670,77539,64201,86192,4003,71735,3839
Edson (4814024) T 01010,3095,73647,61801,79576,2194,65279,1639
Division No. 15 (4815)   02020,13010,58907,51362,80319,4689,66105,2971
Crowsnest Pass (4815007) T 01010,2630,47411,40715,58327,1866,49815,1449
Kananaskis (4815013) ID 02020,115,47695,45657,58550,7182,51212,5640
Bighorn No. 8 (4815015) MD 02020,525,61070,52758,83149,16056,70148,12715
Canmore (4815023) T 01010,4775,69020,58955,100042,13531,79949,8425
Improvement District No. 9 (4815032) ID 02020,190,68508,54747,65200,5188,55620,4304
Jasper (4815033) SM 01020,1600,62360,53117,75749,5378,64314,4793
Banff (4815035) T 02020,2570,55017,49523,78875,5549,64434,3636
Ranchland No. 66 (4815045) MD 01020,0,0,0,0,0,0,0
"Stoney 142, 143, 144 (4815802) IRI 02020",520,30216,29832,37571,230,36893,212
Division No. 16 (4816)   00010,18470,120698,95567,129847,1460,101393,962
Wood Buffalo (4816037) RGM 00011,17985,122442,96883,132067,1575,102923,1036
Janvier 194 (4816817) IRI 01000,95,24768,24640,39485,0,36300,0
Gregoire Lake 176 (4816821) IRI 01020,0,0,0,0,0,0,0
Gregoire Lake 176A (4816822) IRI 02020,0,0,0,0,0,0,0
Fort Mackay (4816859) S-É 02020,195,49792,43819,56143,0,51721,0
Division No. 17 (4817)   21020,18765,56360,50665,68971,614,59218,445
High Prairie (4817021) T 01010,1040,49435,42473,63648,3141,54636,2421
Swan Hills (4817024) T 01020,625,80144,64765,92641,5985,74116,4206
Northern Sunrise County (4817026) MD 02010,650,76317,65077,94615,8101,77131,5534
Big Lakes (4817027) MD 02020,1980,50291,45738,62953,1649,54325,1185
Kinuso (4817028) VL 02020,0,0,0,0,0,0,0
Slave Lake (4817029) T 01010,2255,78246,65202,85185,2817,71306,2089
Opportunity No. 17 (4817031) MD 02021,845,45808,42992,53272,440,48647,376
Lesser Slave River No.124 (4817033) MD 01011,1010,62600,55405,80365,6064,66954,4121
Nampa (4817039) VL 02020,155,58316,50380,60913,7017,51909,5652
Clear Hills No. 21 (4817062) MD 01010,885,47681,44954,68301,7112,57622,4675
Hines Creek (4817064) VL 02020,165,47908,41361,55334,5175,48208,4008
Northern Lights No. 22 (4817076) MD 01010,1360,58853,51576,71469,2289,60925,1778
Manning (4817078) T 01000,560,51967,46356,62174,4442,53142,3464
High Level (4817093) T 01010,1365,80547,68969,87566,3369,73276,2495
Mackenzie No. 23 (4817095) MD 01020,2685,57693,52023,68118,1721,59721,1320
Rainbow Lake (4817097) T 01020,350,111673,89817,109849,5791,89365,4358
Jean Baptiste Gambler 183 (4817817) IRI 00000,0,0,0,0,0,0,0
Wabasca 166 (4817818) IRI 02020,0,0,0,0,0,0,0
Wabasca 166A (4817819) IRI 01010,155,35883,35712,41895,0,41063,0
Wabasca 166B (4817821) IRI 00000,0,0,0,0,0,0,0
Wabasca 166C (4817822) IRI 01010,0,0,0,0,0,0,0
Wabasca 166D (4817823) IRI 01010,215,44672,44096,52261,0,50839,0
Utikoomak Lake 155 (4817824) IRI 01020,185,33536,33152,38949,0,37529,0
Utikoomak Lake 155A (4817827) IRI 02010,0,0,0,0,0,0,0
