Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Reidville (1005009) T 00000,175,43911,42119,53018,5901,46106,4778
"Division No. 5, Subd. F (1005010) SNO 01010",185,56332,49180,70074,7892,57162,5793
Steady Brook (1005011) T 01020,160,60887,50643,77890,15432,60202,9618
Pasadena (1005012) T 00000,1190,51770,44338,60405,2197,50599,1694
Cormack (1005014) T 00000,240,43546,34837,45914,3800,39900,2923
Gillams (1005015) T 00000,160,40823,35703,43971,4636,38223,3529
"Division No. 5, Subd. C (1005016) SNO 01020",0,0,0,0,0,0,0
Massey Drive (1005017) T 00010,405,72061,58564,74068,4052,60142,2944
Corner Brook (1005018) CY 00000,8075,46272,39931,57246,1155,47366,799
Humber Arm South (1005020) T 01010,710,42371,39789,54260,3673,45334,2578
McIvers (1005022) T 00000,215,35546,31981,44837,3536,39423,2909
Cox's Cove (1005023) T 00000,275,22620,22561,28672,2367,26256,1973
Lark Harbour (1005024) T 00000,225,28707,27104,35760,3016,32557,2419
Meadows (1005025) T 00010,220,49250,42054,58088,5482,49357,4526
Hughes Brook (1005028) T 00000,0,0,0,0,0,0,0
Irishtown-Summerside (1005030) T 01000,495,38319,35537,49397,3099,42188,2362
Mount Moriah (1005033) T 00010,280,42787,37772,49464,4081,42997,3290
York Harbour (1005035) T 00000,135,57613,45649,52319,5521,44674,4086
Division No. 6 (1006)   00000,14230,43577,38595,54116,797,45105,561
"Division No. 6, Subd. D (1006001) SNO 02000",125,37939,33331,38954,4470,34080,3327
Norris Arm (1006003) T 01000,375,34572,32486,44742,3753,39633,3215
Gander (1006009) T 00000,3865,55146,46572,65302,1691,52528,1145
Appleton (1006011) T 00000,220,52403,46077,55261,4857,46442,3412
Glenwood (1006012) T 00000,310,36785,33921,40188,2455,35195,1929
"Division No. 6, Subd. C (1006014) SNO 02020",170,46499,40418,44957,4545,38849,3699
Northern Arm (1006015) T 00010,155,36723,31351,58294,9331,47461,6345
Grand Falls-Windsor (1006017) T 00000,5310,44622,39683,56011,1476,46587,1032
Bishop's Falls (1006019) T 00000,1320,37793,34237,44335,1624,38570,1272
Peterview (1006021) T 01010,260,28272,27248,32890,2979,29935,2445
Botwood (1006022) T 00000,1225,35111,32102,41981,1626,36476,1262
Badger (1006026) T 00000,315,31212,30323,42936,3131,38349,2634
Millertown (1006028) T 00000,0,0,0,0,0,0,0
"Division No. 6, Subd. A (1006029) SNO 01000",0,0,0,0,0,0,0
Buchans (1006031) T 00000,340,27930,27020,38050,3090,33830,2404
Division No. 7 (1007)   01000,14010,38734,35082,46696,676,39924,471
"Division No. 7, Subd. M (1007001) SNO 00000",885,44219,40060,52448,2395,43710,1726
"Division No. 7, Subd. L (1007006) SNO 01010",530,36159,32925,41943,2003,36741,1516
"Division No. 7, Subd. K (1007009) SNO 01000",460,41332,36572,45169,2644,39165,2052
Clarenville (1007013) T 00000,2045,52342,45751,66620,3165,53104,1998
"Division No. 7, Subd. J (1007014) SNO 01000",270,27800,26292,33969,2764,30555,2130
Trinity (Trinity Bay) (1007015) T 01010,0,0,0,0,0,0,0
Port Rexton (1007016) T 00000,160,43874,39021,44634,4157,38724,3475
Little Catalina (1007017) T 00000,195,29049,26745,37905,3422,34173,3003
"Division No. 7, Subd. I (1007018) SNO 00010",0,0,0,0,0,0,0
Elliston (1007020) T 00010,130,32339,29916,36424,4579,32599,3687
Trinity Bay North (1007022) T 00001,600,36439,32453,42236,3643,36115,2345
Bonavista (1007023) T 00000,1485,35567,32147,42052,1670,36432,1239
"Division No. 7, Subd. G (1007024) SNO 01010",175,29353,27687,32851,2645,30788,2306
Keels (1007025) T 00000,0,0,0,0,0,0,0
Duntara (1007026) T 00000,0,0,0,0,0,0,0
King's Cove (1007027) T 01020,0,0,0,0,0,0,0
"Division No. 7, Subd. F (1007028) SNO 01011",440,35368,31946,38654,2261,34413,1765
"Division No. 7, Subd. E (1007031) SNO 01000",1120,35990,31934,40013,1753,35168,1365
Musgravetown (1007032) T 00000,235,33825,33067,41821,3649,37084,2882
